Coefficient_of_variation	Method	group
27.1	11min 3Th	11min
7.8	11min 3Th	11min
5.4	11min 3Th	11min
7.6	11min 3Th	11min
13.9	11min 3Th	11min
15.8	11min 3Th	11min
0	11min 3Th	11min
7.3	11min 3Th	11min
9.2	11min 3Th	11min
3.7	11min 3Th	11min
6.5	11min 3Th	11min
20.6	11min 3Th	11min
5.9	11min 3Th	11min
2.5	11min 3Th	11min
3.1	11min 3Th	11min
12.5	11min 3Th	11min
5.5	11min 3Th	11min
2.3	11min 3Th	11min
21.3	11min 3Th	11min
3.3	11min 3Th	11min
25.6	11min 3Th	11min
7.9	11min 3Th	11min
27.1	11min 3Th	11min
6.4	11min 3Th	11min
9.3	11min 3Th	11min
5.9	11min 3Th	11min
17	11min 3Th	11min
7.4	11min 3Th	11min
9.1	11min 3Th	11min
35.3	11min 3Th	11min
15.9	11min 3Th	11min
3.5	11min 3Th	11min
39.4	11min 3Th	11min
5.6	11min 3Th	11min
4.2	11min 3Th	11min
21	11min 3Th	11min
5.7	11min 3Th	11min
22.1	11min 3Th	11min
3.1	11min 3Th	11min
8.6	11min 3Th	11min
2.5	11min 3Th	11min
4.1	11min 3Th	11min
29	11min 3Th	11min
7.5	11min 3Th	11min
45	11min 3Th	11min
4.1	11min 3Th	11min
36.8	11min 3Th	11min
33.6	11min 3Th	11min
10.8	11min 3Th	11min
17.5	11min 3Th	11min
4.2	11min 3Th	11min
4.8	11min 3Th	11min
12.4	11min 3Th	11min
13.5	11min 3Th	11min
15	11min 3Th	11min
8.1	11min 3Th	11min
56.7	11min 3Th	11min
18.5	11min 3Th	11min
4	11min 3Th	11min
19.9	11min 3Th	11min
30	11min 3Th	11min
19.1	11min 3Th	11min
13.8	11min 3Th	11min
11.8	11min 3Th	11min
43.6	11min 3Th	11min
8.9	11min 3Th	11min
0.5	11min 3Th	11min
40.2	11min 3Th	11min
9.9	11min 3Th	11min
4.8	11min 3Th	11min
6.8	11min 3Th	11min
5.8	11min 3Th	11min
13.7	11min 3Th	11min
7.3	11min 3Th	11min
33.4	11min 3Th	11min
5.8	11min 3Th	11min
31.9	11min 3Th	11min
2.5	11min 3Th	11min
7.3	11min 3Th	11min
4.4	11min 3Th	11min
18.1	11min 3Th	11min
7.6	11min 3Th	11min
22.4	11min 3Th	11min
31	11min 3Th	11min
18.8	11min 3Th	11min
20.8	11min 3Th	11min
11.6	11min 3Th	11min
4	11min 3Th	11min
7.4	11min 3Th	11min
22.1	11min 3Th	11min
13.3	11min 3Th	11min
7.6	11min 3Th	11min
9	11min 3Th	11min
11.3	11min 3Th	11min
7.8	11min 3Th	11min
30.7	11min 3Th	11min
30.6	11min 3Th	11min
43.7	11min 3Th	11min
20.7	11min 3Th	11min
12.1	11min 3Th	11min
11.3	11min 3Th	11min
5.3	11min 3Th	11min
5.4	11min 3Th	11min
12.9	11min 3Th	11min
29.9	11min 3Th	11min
8.6	11min 3Th	11min
20.7	11min 3Th	11min
3.2	11min 3Th	11min
12	11min 3Th	11min
2.6	11min 3Th	11min
10.7	11min 3Th	11min
3.7	11min 3Th	11min
26.4	11min 3Th	11min
12.1	11min 3Th	11min
16.2	11min 3Th	11min
1.2	11min 3Th	11min
26.3	11min 3Th	11min
8.7	11min 3Th	11min
16.6	11min 3Th	11min
25.5	11min 3Th	11min
9.3	11min 3Th	11min
4.7	11min 3Th	11min
7.7	11min 3Th	11min
6.2	11min 3Th	11min
7.1	11min 3Th	11min
13.9	11min 3Th	11min
2.9	11min 3Th	11min
7.6	11min 3Th	11min
10.8	11min 3Th	11min
43.1	11min 3Th	11min
4.4	11min 3Th	11min
1.8	11min 3Th	11min
9.1	11min 3Th	11min
2.4	11min 3Th	11min
5.3	11min 3Th	11min
5.8	11min 3Th	11min
4.7	11min 3Th	11min
9.6	11min 3Th	11min
13.7	11min 3Th	11min
4.6	11min 3Th	11min
36.8	11min 3Th	11min
12.1	11min 3Th	11min
1.4	11min 3Th	11min
3.3	11min 3Th	11min
14.5	11min 3Th	11min
25.2	11min 3Th	11min
7.1	11min 3Th	11min
8	11min 3Th	11min
2.8	11min 3Th	11min
27.1	11min 3Th	11min
29.9	11min 3Th	11min
13.7	11min 3Th	11min
5.6	11min 3Th	11min
6	11min 3Th	11min
6.5	11min 3Th	11min
1.8	11min 3Th	11min
6.8	11min 3Th	11min
6.7	11min 3Th	11min
20.7	11min 3Th	11min
18.8	11min 3Th	11min
12.4	11min 3Th	11min
4.7	11min 3Th	11min
3	11min 3Th	11min
17.6	11min 3Th	11min
10.8	11min 3Th	11min
6.6	11min 3Th	11min
6.3	11min 3Th	11min
22.6	11min 3Th	11min
47.4	11min 3Th	11min
17.4	11min 3Th	11min
34.2	11min 3Th	11min
14.3	11min 3Th	11min
9.4	11min 3Th	11min
25.2	11min 3Th	11min
4.1	11min 3Th	11min
6.8	11min 3Th	11min
3.1	11min 3Th	11min
4.7	11min 3Th	11min
7.6	11min 3Th	11min
3.1	11min 3Th	11min
12.7	11min 3Th	11min
73.2	11min 3Th	11min
19.2	11min 3Th	11min
6.7	11min 3Th	11min
10.1	11min 3Th	11min
4.9	11min 3Th	11min
4.9	11min 3Th	11min
7.9	11min 3Th	11min
3.4	11min 3Th	11min
6.1	11min 3Th	11min
6.1	11min 3Th	11min
37.4	11min 3Th	11min
7.7	11min 3Th	11min
9.4	11min 3Th	11min
4	11min 3Th	11min
2.6	11min 3Th	11min
6.3	11min 3Th	11min
6	11min 3Th	11min
3.9	11min 3Th	11min
7	11min 3Th	11min
11.1	11min 3Th	11min
13.6	11min 3Th	11min
3.6	11min 3Th	11min
4.8	11min 3Th	11min
2.8	11min 3Th	11min
21.3	11min 3Th	11min
5.6	11min 3Th	11min
6.5	11min 3Th	11min
18.5	11min 3Th	11min
4.5	11min 3Th	11min
7.5	11min 3Th	11min
4.2	11min 3Th	11min
4	11min 3Th	11min
5	11min 3Th	11min
14.5	11min 3Th	11min
2.5	11min 3Th	11min
3.5	11min 3Th	11min
2.6	11min 3Th	11min
4.7	11min 3Th	11min
8.9	11min 3Th	11min
3.9	11min 3Th	11min
1.6	11min 3Th	11min
2.9	11min 3Th	11min
10.1	11min 3Th	11min
6.7	11min 3Th	11min
9.1	11min 3Th	11min
11.6	11min 3Th	11min
3.1	11min 3Th	11min
5.8	11min 3Th	11min
11.4	11min 3Th	11min
10.3	11min 3Th	11min
3.1	11min 3Th	11min
12.7	11min 3Th	11min
21.1	11min 3Th	11min
2.2	11min 3Th	11min
10.2	11min 3Th	11min
3.6	11min 3Th	11min
24.7	11min 3Th	11min
32.8	11min 3Th	11min
1.9	11min 3Th	11min
8.9	11min 3Th	11min
2.9	11min 3Th	11min
3.9	11min 3Th	11min
13.9	11min 3Th	11min
21.7	11min 3Th	11min
5	11min 3Th	11min
5.8	11min 3Th	11min
2.7	11min 3Th	11min
12.6	11min 3Th	11min
2.2	11min 3Th	11min
4	11min 3Th	11min
2.3	11min 3Th	11min
10.2	11min 3Th	11min
5.9	11min 3Th	11min
1.5	11min 3Th	11min
5.7	11min 3Th	11min
14.9	11min 3Th	11min
9.8	11min 3Th	11min
41.3	11min 3Th	11min
7.2	11min 3Th	11min
16.3	11min 3Th	11min
5.7	11min 3Th	11min
4.8	11min 3Th	11min
54.8	11min 3Th	11min
11.6	11min 3Th	11min
19.8	11min 3Th	11min
4.6	11min 3Th	11min
5.1	11min 3Th	11min
15.6	11min 3Th	11min
1.8	11min 3Th	11min
6	11min 3Th	11min
12.2	11min 3Th	11min
4	11min 3Th	11min
17.2	11min 3Th	11min
10.8	11min 3Th	11min
37.7	11min 3Th	11min
2.7	11min 3Th	11min
11.2	11min 3Th	11min
12.4	11min 3Th	11min
4.6	11min 3Th	11min
4.9	11min 3Th	11min
22.3	11min 3Th	11min
12	11min 3Th	11min
17.6	11min 3Th	11min
0	11min 3Th	11min
5.2	11min 3Th	11min
2.9	11min 3Th	11min
11.6	11min 3Th	11min
5.1	11min 3Th	11min
6	11min 3Th	11min
4.4	11min 3Th	11min
10	11min 3Th	11min
2.9	11min 3Th	11min
1.5	11min 3Th	11min
10.8	11min 3Th	11min
2.5	11min 3Th	11min
22	11min 3Th	11min
5.9	11min 3Th	11min
4.1	11min 3Th	11min
3.4	11min 3Th	11min
17.1	11min 3Th	11min
9.9	11min 3Th	11min
19	11min 3Th	11min
26.8	11min 3Th	11min
5.8	11min 3Th	11min
4.1	11min 3Th	11min
7.1	11min 3Th	11min
7.6	11min 3Th	11min
41	11min 3Th	11min
11.5	11min 3Th	11min
4.2	11min 3Th	11min
6.8	11min 3Th	11min
6.5	11min 3Th	11min
8.7	11min 3Th	11min
2.4	11min 3Th	11min
5.6	11min 3Th	11min
7.9	11min 3Th	11min
12.9	11min 3Th	11min
13.2	11min 3Th	11min
29.4	11min 3Th	11min
12	11min 3Th	11min
22	11min 3Th	11min
7.2	11min 3Th	11min
8.4	11min 3Th	11min
2	11min 3Th	11min
9.1	11min 3Th	11min
96.3	11min 3Th	11min
4.3	11min 3Th	11min
4.1	11min 3Th	11min
6.9	11min 3Th	11min
22.3	11min 3Th	11min
3	11min 3Th	11min
6.8	11min 3Th	11min
7	11min 3Th	11min
6.1	11min 3Th	11min
4.6	11min 3Th	11min
4.8	11min 3Th	11min
34.9	11min 3Th	11min
5.1	11min 3Th	11min
2.2	11min 3Th	11min
17.3	11min 3Th	11min
5.5	11min 3Th	11min
12.4	11min 3Th	11min
7.6	11min 3Th	11min
10	11min 3Th	11min
6.9	11min 3Th	11min
6.6	11min 3Th	11min
5	11min 3Th	11min
10.3	11min 3Th	11min
1.5	11min 3Th	11min
10.2	11min 3Th	11min
20	11min 3Th	11min
26.1	11min 3Th	11min
6.5	11min 3Th	11min
6.1	11min 3Th	11min
7.7	11min 3Th	11min
7.2	11min 3Th	11min
9	11min 3Th	11min
10.1	11min 3Th	11min
6.9	11min 3Th	11min
26.6	11min 3Th	11min
14.2	11min 3Th	11min
3.5	11min 3Th	11min
24.6	11min 3Th	11min
5.7	11min 3Th	11min
10.3	11min 3Th	11min
10.1	11min 3Th	11min
16.3	11min 3Th	11min
4.5	11min 3Th	11min
3	11min 3Th	11min
9.1	11min 3Th	11min
9	11min 3Th	11min
15.3	11min 3Th	11min
12.2	11min 3Th	11min
10.9	11min 3Th	11min
5.5	11min 3Th	11min
1.7	11min 3Th	11min
11.3	11min 3Th	11min
12.7	11min 3Th	11min
4.5	11min 3Th	11min
52.1	11min 3Th	11min
8.5	11min 3Th	11min
24.7	11min 3Th	11min
6.4	11min 3Th	11min
11.7	11min 3Th	11min
9.6	11min 3Th	11min
5.4	11min 3Th	11min
8.5	11min 3Th	11min
4.9	11min 3Th	11min
9.5	11min 3Th	11min
29.5	11min 3Th	11min
26	11min 3Th	11min
4.8	11min 3Th	11min
4.2	11min 3Th	11min
6.6	11min 3Th	11min
27	11min 3Th	11min
3.4	11min 3Th	11min
25.5	11min 3Th	11min
14.8	11min 3Th	11min
2.9	11min 3Th	11min
9.4	11min 3Th	11min
28.7	11min 3Th	11min
30	11min 3Th	11min
4.1	11min 3Th	11min
4.9	11min 3Th	11min
4.8	11min 3Th	11min
7.7	11min 3Th	11min
31.7	11min 3Th	11min
9.8	11min 3Th	11min
13.5	11min 3Th	11min
3.8	11min 3Th	11min
22.2	11min 3Th	11min
4.1	11min 3Th	11min
20.3	11min 3Th	11min
53.7	11min 3Th	11min
67.5	11min 3Th	11min
5.2	11min 3Th	11min
35.1	11min 3Th	11min
13	11min 3Th	11min
4	11min 3Th	11min
15.6	11min 3Th	11min
16.2	11min 3Th	11min
9.1	11min 3Th	11min
9	11min 3Th	11min
5.8	11min 3Th	11min
3.7	11min 3Th	11min
3.9	11min 3Th	11min
10.9	11min 3Th	11min
11.5	11min 3Th	11min
19.3	11min 3Th	11min
8	11min 3Th	11min
2.9	11min 3Th	11min
5.3	11min 3Th	11min
4.4	11min 3Th	11min
7.5	11min 3Th	11min
3.8	11min 3Th	11min
7.5	11min 3Th	11min
2.6	11min 3Th	11min
4.1	11min 3Th	11min
4.2	11min 3Th	11min
18.1	11min 3Th	11min
47.8	11min 3Th	11min
10.4	11min 3Th	11min
10	11min 3Th	11min
7.8	11min 3Th	11min
23.8	11min 3Th	11min
12.2	11min 3Th	11min
3.9	11min 3Th	11min
2.7	11min 3Th	11min
14.9	11min 3Th	11min
5.7	11min 3Th	11min
5.8	11min 3Th	11min
30.4	11min 3Th	11min
22.4	11min 3Th	11min
8.1	11min 3Th	11min
6.3	11min 3Th	11min
2.9	11min 3Th	11min
3.9	11min 3Th	11min
30.1	11min 3Th	11min
12	11min 3Th	11min
4.4	11min 3Th	11min
34.3	11min 3Th	11min
21.7	11min 3Th	11min
5.7	11min 3Th	11min
22.3	11min 3Th	11min
2.2	11min 3Th	11min
19.4	11min 3Th	11min
51.8	11min 3Th	11min
9.4	11min 3Th	11min
4.2	11min 3Th	11min
13.9	11min 3Th	11min
11.7	11min 3Th	11min
5.6	11min 3Th	11min
25	11min 3Th	11min
3.4	11min 3Th	11min
28	11min 3Th	11min
3.8	11min 3Th	11min
2.1	11min 3Th	11min
17.3	11min 3Th	11min
6.6	11min 3Th	11min
3.2	11min 3Th	11min
2.7	11min 3Th	11min
4.4	11min 3Th	11min
76.1	11min 3Th	11min
11.4	11min 3Th	11min
3.9	11min 3Th	11min
2.3	11min 3Th	11min
6.5	11min 3Th	11min
4.7	11min 3Th	11min
3.1	11min 3Th	11min
22.5	11min 3Th	11min
12.7	11min 3Th	11min
6.2	11min 3Th	11min
16.6	11min 3Th	11min
9.5	11min 3Th	11min
9.5	11min 3Th	11min
8.9	11min 3Th	11min
20.3	11min 3Th	11min
7.8	11min 3Th	11min
3.2	11min 3Th	11min
5.6	11min 3Th	11min
8.3	11min 3Th	11min
5.1	11min 3Th	11min
13	11min 3Th	11min
9	11min 3Th	11min
11.8	11min 3Th	11min
9	11min 3Th	11min
21.8	11min 3Th	11min
7.4	11min 3Th	11min
7.9	11min 3Th	11min
11.3	11min 3Th	11min
7.2	11min 3Th	11min
5.4	11min 3Th	11min
9.8	11min 3Th	11min
10.6	11min 3Th	11min
17.7	11min 3Th	11min
4.1	11min 3Th	11min
2.2	11min 3Th	11min
10.2	11min 3Th	11min
14.3	11min 3Th	11min
6.8	11min 3Th	11min
9.1	11min 3Th	11min
17.8	11min 3Th	11min
6.8	11min 3Th	11min
16.5	11min 3Th	11min
2.4	11min 3Th	11min
3	11min 3Th	11min
7	11min 3Th	11min
6.3	11min 3Th	11min
5.5	11min 3Th	11min
3.8	11min 3Th	11min
10.9	11min 3Th	11min
3.8	11min 3Th	11min
7.6	11min 3Th	11min
6.5	11min 3Th	11min
15.4	11min 3Th	11min
16	11min 3Th	11min
10	11min 3Th	11min
7.3	11min 3Th	11min
6.1	11min 3Th	11min
9.2	11min 3Th	11min
3.1	11min 3Th	11min
3.6	11min 3Th	11min
6.7	11min 3Th	11min
29.6	11min 3Th	11min
6	11min 3Th	11min
12.3	11min 3Th	11min
13.9	11min 3Th	11min
18.7	11min 3Th	11min
5.4	11min 3Th	11min
8.6	11min 3Th	11min
13.5	11min 3Th	11min
3.6	11min 3Th	11min
17.3	11min 3Th	11min
34.1	11min 3Th	11min
9.6	11min 3Th	11min
10.2	11min 3Th	11min
12.7	11min 3Th	11min
3.6	11min 3Th	11min
20.6	11min 3Th	11min
21.6	11min 3Th	11min
9.5	11min 3Th	11min
9.7	11min 3Th	11min
22.4	11min 3Th	11min
34.5	11min 3Th	11min
2.8	11min 3Th	11min
11.2	11min 3Th	11min
33.9	11min 3Th	11min
4	11min 3Th	11min
4.8	11min 3Th	11min
12.5	11min 3Th	11min
7.6	11min 3Th	11min
4.8	11min 3Th	11min
39.3	11min 3Th	11min
10.1	11min 3Th	11min
17.7	11min 3Th	11min
12.6	11min 3Th	11min
2.6	11min 3Th	11min
21	11min 3Th	11min
6.8	11min 3Th	11min
1.8	11min 3Th	11min
5.8	11min 3Th	11min
17.9	11min 3Th	11min
4.1	11min 3Th	11min
2.6	11min 3Th	11min
17	11min 3Th	11min
11.7	11min 3Th	11min
18.2	11min 3Th	11min
18.6	11min 3Th	11min
6.6	11min 3Th	11min
3.9	11min 3Th	11min
4.2	11min 3Th	11min
11.3	11min 3Th	11min
3.3	11min 3Th	11min
6.7	11min 3Th	11min
7.7	11min 3Th	11min
3.8	11min 3Th	11min
2.8	11min 3Th	11min
29	11min 3Th	11min
1.8	11min 3Th	11min
7.6	11min 3Th	11min
10.5	11min 3Th	11min
25.7	11min 3Th	11min
9.3	11min 3Th	11min
5.1	11min 3Th	11min
5.3	11min 3Th	11min
2.9	11min 3Th	11min
8.7	11min 3Th	11min
3.5	11min 3Th	11min
20.7	11min 3Th	11min
3	11min 3Th	11min
10.3	11min 3Th	11min
19.2	11min 3Th	11min
9	11min 3Th	11min
27.4	11min 3Th	11min
4.3	11min 3Th	11min
17.3	11min 3Th	11min
5	11min 3Th	11min
5.6	11min 3Th	11min
4.4	11min 3Th	11min
0	11min 3Th	11min
22.6	11min 3Th	11min
7.2	11min 3Th	11min
9.2	11min 3Th	11min
33.7	11min 3Th	11min
37.4	11min 3Th	11min
36.9	11min 3Th	11min
11.1	11min 3Th	11min
11.1	11min 3Th	11min
14.6	11min 3Th	11min
11.5	11min 3Th	11min
12.4	11min 3Th	11min
13	11min 3Th	11min
14.9	11min 3Th	11min
7.5	11min 3Th	11min
4.8	11min 3Th	11min
12.1	11min 3Th	11min
1.5	11min 3Th	11min
20.1	11min 3Th	11min
6.4	11min 3Th	11min
14.7	11min 3Th	11min
15.2	11min 3Th	11min
22.8	11min 3Th	11min
5.9	11min 3Th	11min
3.1	11min 3Th	11min
6.1	11min 3Th	11min
2.7	11min 3Th	11min
3.9	11min 3Th	11min
2.5	11min 3Th	11min
38	11min 3Th	11min
12.5	11min 3Th	11min
5.3	11min 3Th	11min
13.5	11min 3Th	11min
22.6	11min 3Th	11min
33.6	11min 3Th	11min
16.1	11min 3Th	11min
45.6	11min 3Th	11min
11.2	11min 3Th	11min
11.1	11min 3Th	11min
6.2	11min 3Th	11min
3.7	11min 3Th	11min
3.4	11min 3Th	11min
11.1	11min 3Th	11min
63.3	11min 3Th	11min
41.1	11min 3Th	11min
27	11min 3Th	11min
17.3	11min 3Th	11min
9.4	11min 3Th	11min
6.1	11min 3Th	11min
5.2	11min 3Th	11min
3.7	11min 3Th	11min
4.8	11min 3Th	11min
3.7	11min 3Th	11min
24.6	11min 3Th	11min
15.6	11min 3Th	11min
5.6	11min 3Th	11min
29.8	11min 3Th	11min
5.6	11min 3Th	11min
4.4	11min 3Th	11min
46.4	11min 3Th	11min
4.4	11min 3Th	11min
4	11min 3Th	11min
15	11min 3Th	11min
7	11min 3Th	11min
4.4	11min 3Th	11min
14	11min 3Th	11min
2.2	11min 3Th	11min
9.4	11min 3Th	11min
9.2	11min 3Th	11min
20.1	11min 3Th	11min
11.1	11min 3Th	11min
7.8	11min 3Th	11min
9.3	11min 3Th	11min
4.5	11min 3Th	11min
6.3	11min 3Th	11min
11.9	11min 3Th	11min
2.1	11min 3Th	11min
1.8	11min 3Th	11min
3	11min 3Th	11min
4.2	11min 3Th	11min
2.8	11min 3Th	11min
34.4	11min 3Th	11min
6.5	11min 3Th	11min
10.9	11min 3Th	11min
9.4	11min 3Th	11min
43.9	11min 3Th	11min
35.4	11min 3Th	11min
20.6	11min 3Th	11min
8.6	11min 3Th	11min
13	11min 3Th	11min
21.3	11min 3Th	11min
8.1	11min 3Th	11min
5.5	11min 3Th	11min
3.9	11min 3Th	11min
7	11min 3Th	11min
13.3	11min 3Th	11min
26.5	11min 3Th	11min
13.1	11min 3Th	11min
5.1	11min 3Th	11min
10.9	11min 3Th	11min
3.8	11min 3Th	11min
3.3	11min 3Th	11min
33.7	11min 3Th	11min
9.2	11min 3Th	11min
15.2	11min 3Th	11min
5.4	11min 3Th	11min
8	11min 3Th	11min
2.5	11min 3Th	11min
6	11min 3Th	11min
3.5	11min 3Th	11min
7.9	11min 3Th	11min
2.5	11min 3Th	11min
5.1	11min 3Th	11min
2.6	11min 3Th	11min
13.9	11min 3Th	11min
8.6	11min 3Th	11min
4.4	11min 3Th	11min
25.6	11min 3Th	11min
15.5	11min 3Th	11min
7.4	11min 3Th	11min
4.4	11min 3Th	11min
5	11min 3Th	11min
19.3	11min 3Th	11min
5.7	11min 3Th	11min
8.4	11min 3Th	11min
7.9	11min 3Th	11min
20.4	11min 3Th	11min
3.4	11min 3Th	11min
42	11min 3Th	11min
17.7	11min 3Th	11min
9.2	11min 3Th	11min
8.8	11min 3Th	11min
12.2	11min 3Th	11min
5.1	11min 3Th	11min
3.1	11min 3Th	11min
6.9	11min 3Th	11min
4.3	11min 3Th	11min
15.4	11min 3Th	11min
44.8	11min 3Th	11min
3.3	11min 3Th	11min
4.9	11min 3Th	11min
5.4	11min 3Th	11min
7.7	11min 3Th	11min
8	11min 3Th	11min
19.4	11min 3Th	11min
11.8	11min 3Th	11min
13.1	11min 3Th	11min
5.7	11min 3Th	11min
16.5	11min 3Th	11min
3.5	11min 3Th	11min
4.3	11min 3Th	11min
10.2	11min 3Th	11min
9.8	11min 3Th	11min
6.3	11min 3Th	11min
4.7	11min 3Th	11min
17.9	11min 3Th	11min
11.2	11min 3Th	11min
15.2	11min 3Th	11min
9.7	11min 3Th	11min
22.4	11min 3Th	11min
17.6	11min 3Th	11min
6	11min 3Th	11min
7.5	11min 3Th	11min
25.1	11min 3Th	11min
3.3	11min 3Th	11min
5.9	11min 3Th	11min
34.7	11min 3Th	11min
19.4	11min 3Th	11min
18.5	11min 3Th	11min
25.2	11min 3Th	11min
3.1	11min 3Th	11min
26.2	11min 3Th	11min
45.8	11min 3Th	11min
12.8	11min 3Th	11min
8	11min 3Th	11min
22.4	11min 3Th	11min
43.8	11min 3Th	11min
13.4	11min 3Th	11min
2.9	11min 3Th	11min
4.3	11min 3Th	11min
5.9	11min 3Th	11min
6.8	11min 3Th	11min
51.8	11min 3Th	11min
9	11min 3Th	11min
34.1	11min 3Th	11min
6.7	11min 3Th	11min
9.6	11min 3Th	11min
20.5	11min 3Th	11min
1.4	11min 3Th	11min
3.5	11min 3Th	11min
4.5	11min 3Th	11min
6	11min 3Th	11min
3.8	11min 3Th	11min
13.1	11min 3Th	11min
11.6	11min 3Th	11min
2.7	11min 3Th	11min
3.3	11min 3Th	11min
15.3	11min 3Th	11min
6.6	11min 3Th	11min
3.8	11min 3Th	11min
11.5	11min 3Th	11min
4.3	11min 3Th	11min
3.1	11min 3Th	11min
14.7	11min 3Th	11min
7.5	11min 3Th	11min
2.6	11min 3Th	11min
33.9	11min 3Th	11min
24.6	11min 3Th	11min
7.2	11min 3Th	11min
44.7	11min 3Th	11min
10.1	11min 3Th	11min
19.2	11min 3Th	11min
4.5	11min 3Th	11min
8.6	11min 3Th	11min
6.6	11min 3Th	11min
19.3	11min 3Th	11min
4.1	11min 3Th	11min
4	11min 3Th	11min
33.2	11min 3Th	11min
2.4	11min 3Th	11min
5.4	11min 3Th	11min
4.7	11min 3Th	11min
10.6	11min 3Th	11min
18.9	11min 3Th	11min
29.8	11min 3Th	11min
3	11min 3Th	11min
2.3	11min 3Th	11min
5.4	11min 3Th	11min
51.4	11min 3Th	11min
8.2	11min 3Th	11min
5	11min 3Th	11min
24.4	11min 3Th	11min
2.7	11min 3Th	11min
9.7	11min 3Th	11min
9.4	11min 3Th	11min
15.7	11min 3Th	11min
13.5	11min 3Th	11min
10.4	11min 3Th	11min
8.7	11min 3Th	11min
27.9	11min 3Th	11min
21.9	11min 3Th	11min
3.4	11min 3Th	11min
5.5	11min 3Th	11min
13.6	11min 3Th	11min
53.6	11min 3Th	11min
4.3	11min 3Th	11min
17.2	11min 3Th	11min
10.4	11min 3Th	11min
21.3	11min 3Th	11min
8.7	11min 3Th	11min
5.1	11min 3Th	11min
11.4	11min 3Th	11min
11.7	11min 3Th	11min
12.2	11min 3Th	11min
13	11min 3Th	11min
6.3	11min 3Th	11min
9.8	11min 3Th	11min
10.4	11min 3Th	11min
5.8	11min 3Th	11min
1.4	11min 3Th	11min
17.5	11min 3Th	11min
7.6	11min 3Th	11min
24.5	11min 3Th	11min
8.8	11min 3Th	11min
2.1	11min 3Th	11min
12.6	11min 3Th	11min
5.5	11min 3Th	11min
12.3	11min 3Th	11min
1.8	11min 3Th	11min
14.6	11min 3Th	11min
12.6	11min 3Th	11min
10.1	11min 3Th	11min
7.4	11min 3Th	11min
4.3	11min 3Th	11min
11.5	11min 3Th	11min
7.4	11min 3Th	11min
6.6	11min 3Th	11min
4.7	11min 3Th	11min
10.4	11min 3Th	11min
10.9	11min 3Th	11min
23.5	11min 3Th	11min
23.6	11min 3Th	11min
11.7	11min 3Th	11min
10.7	11min 3Th	11min
10.6	11min 3Th	11min
45.2	11min 3Th	11min
7.3	11min 3Th	11min
5.8	11min 3Th	11min
44.8	11min 3Th	11min
47.2	11min 3Th	11min
15.5	11min 3Th	11min
5.2	11min 3Th	11min
1.1	11min 3Th	11min
8.6	11min 3Th	11min
19.7	11min 3Th	11min
5.8	11min 3Th	11min
4	11min 3Th	11min
14.3	11min 3Th	11min
5.1	11min 3Th	11min
4.1	11min 3Th	11min
15.9	11min 3Th	11min
6.4	11min 3Th	11min
7.2	11min 3Th	11min
4	11min 3Th	11min
21.8	11min 3Th	11min
7.7	11min 3Th	11min
9.3	11min 3Th	11min
10.2	11min 3Th	11min
31.5	11min 3Th	11min
3.9	11min 3Th	11min
20.7	11min 3Th	11min
5.1	11min 3Th	11min
4.7	11min 3Th	11min
14.7	11min 3Th	11min
4.6	11min 3Th	11min
12.4	11min 3Th	11min
12.7	11min 3Th	11min
6.8	11min 3Th	11min
14.8	11min 3Th	11min
9.6	11min 3Th	11min
2.8	11min 3Th	11min
4.7	11min 3Th	11min
9.6	11min 3Th	11min
5.2	11min 3Th	11min
9.5	11min 3Th	11min
16.4	11min 3Th	11min
6.5	11min 3Th	11min
6.3	11min 3Th	11min
16	11min 3Th	11min
19.6	11min 3Th	11min
7	11min 3Th	11min
13.1	11min 3Th	11min
2.6	11min 3Th	11min
24.5	11min 3Th	11min
6.2	11min 3Th	11min
14.9	11min 3Th	11min
4.3	11min 3Th	11min
10.2	11min 3Th	11min
2.1	11min 3Th	11min
14.9	11min 3Th	11min
14.1	11min 3Th	11min
19.6	11min 3Th	11min
24.2	11min 3Th	11min
13.2	11min 3Th	11min
41.3	11min 3Th	11min
15.4	11min 3Th	11min
2.5	11min 3Th	11min
5.4	11min 3Th	11min
3.3	11min 3Th	11min
30.8	11min 3Th	11min
21	11min 3Th	11min
6	11min 3Th	11min
13.5	11min 3Th	11min
28.7	11min 3Th	11min
15	11min 3Th	11min
35.9	11min 3Th	11min
8.1	11min 3Th	11min
9	11min 3Th	11min
4	11min 3Th	11min
2.8	11min 3Th	11min
3.9	11min 3Th	11min
13.5	11min 3Th	11min
4	11min 3Th	11min
11.3	11min 3Th	11min
23.8	11min 3Th	11min
2.9	11min 3Th	11min
5.3	11min 3Th	11min
2.5	11min 3Th	11min
8.1	11min 3Th	11min
14.2	11min 3Th	11min
5.1	11min 3Th	11min
5.8	11min 3Th	11min
17.9	11min 3Th	11min
4.5	11min 3Th	11min
4.8	11min 3Th	11min
10.9	11min 3Th	11min
4.2	11min 3Th	11min
2.5	11min 3Th	11min
4.5	11min 3Th	11min
49	11min 3Th	11min
3.4	11min 3Th	11min
6.5	11min 3Th	11min
14.5	11min 3Th	11min
3.2	11min 3Th	11min
11	11min 3Th	11min
5.5	11min 3Th	11min
3	11min 3Th	11min
24.2	11min 3Th	11min
12.4	11min 3Th	11min
16.8	11min 3Th	11min
3.6	11min 3Th	11min
5.1	11min 3Th	11min
14.4	11min 3Th	11min
