Coefficient_of_variation	Method	group
3.349881602	24min 2Th	24min
3.968016495	24min 2Th	24min
14.39513762	24min 2Th	24min
55.75717068	24min 2Th	24min
72.134193	24min 2Th	24min
6.430563552	24min 2Th	24min
17.81534001	24min 2Th	24min
7.887986028	24min 2Th	24min
37.97960845	24min 2Th	24min
29.75351333	24min 2Th	24min
9.420885465	24min 2Th	24min
45.21075269	24min 2Th	24min
13.88920131	24min 2Th	24min
21.21653247	24min 2Th	24min
32.31058708	24min 2Th	24min
5.908134403	24min 2Th	24min
19.60881524	24min 2Th	24min
10.2833635	24min 2Th	24min
20.57893095	24min 2Th	24min
54.22406803	24min 2Th	24min
16.34175655	24min 2Th	24min
27.25277026	24min 2Th	24min
39.40769329	24min 2Th	24min
14.58879654	24min 2Th	24min
73.43676599	24min 2Th	24min
4.614919562	24min 2Th	24min
10.04241153	24min 2Th	24min
29.54968724	24min 2Th	24min
18.04196875	24min 2Th	24min
20.74094747	24min 2Th	24min
7.879333032	24min 2Th	24min
2.617719861	24min 2Th	24min
15.91565186	24min 2Th	24min
6.363151009	24min 2Th	24min
74.79414865	24min 2Th	24min
27.49367177	24min 2Th	24min
12.8843377	24min 2Th	24min
33.0163165	24min 2Th	24min
11.93026345	24min 2Th	24min
13.51168464	24min 2Th	24min
82.98438951	24min 2Th	24min
34.68169856	24min 2Th	24min
25.72132714	24min 2Th	24min
53.75290188	24min 2Th	24min
12.60996659	24min 2Th	24min
3.968262112	24min 2Th	24min
19.74011021	24min 2Th	24min
69.24006924	24min 2Th	24min
11.54249481	24min 2Th	24min
5.170727216	24min 2Th	24min
10.93104176	24min 2Th	24min
102.7519553	24min 2Th	24min
18.84104193	24min 2Th	24min
5.035761218	24min 2Th	24min
19.6594212	24min 2Th	24min
24.34086574	24min 2Th	24min
8.056080375	24min 2Th	24min
4.084576597	24min 2Th	24min
10.28823666	24min 2Th	24min
33.41060938	24min 2Th	24min
1.191964485	24min 2Th	24min
21.00054217	24min 2Th	24min
28.57264941	24min 2Th	24min
23.03519634	24min 2Th	24min
16.35550838	24min 2Th	24min
5.807815296	24min 2Th	24min
17.77563773	24min 2Th	24min
12.69253033	24min 2Th	24min
21.08915446	24min 2Th	24min
16.05254059	24min 2Th	24min
64.325255	24min 2Th	24min
14.2236888	24min 2Th	24min
19.68108838	24min 2Th	24min
46.39892134	24min 2Th	24min
31.77295832	24min 2Th	24min
59.3595557	24min 2Th	24min
44.17778314	24min 2Th	24min
8.834379825	24min 2Th	24min
37.48549054	24min 2Th	24min
33.09692134	24min 2Th	24min
1.412025163	24min 2Th	24min
28.9242478	24min 2Th	24min
4.791071665	24min 2Th	24min
4.438569115	24min 2Th	24min
8.628367033	24min 2Th	24min
83.50980828	24min 2Th	24min
23.11379244	24min 2Th	24min
10.43617539	24min 2Th	24min
6.917430113	24min 2Th	24min
17.18613874	24min 2Th	24min
23.08746665	24min 2Th	24min
4.693764756	24min 2Th	24min
10.56118189	24min 2Th	24min
43.83781663	24min 2Th	24min
50.18206258	24min 2Th	24min
11.77802884	24min 2Th	24min
24.51448419	24min 2Th	24min
30.83265139	24min 2Th	24min
5.301698603	24min 2Th	24min
14.60344627	24min 2Th	24min
22.84401813	24min 2Th	24min
55.97226401	24min 2Th	24min
33.9923275	24min 2Th	24min
25.17197892	24min 2Th	24min
34.16467114	24min 2Th	24min
1.545672018	24min 2Th	24min
27.36301224	24min 2Th	24min
43.8562737	24min 2Th	24min
21.35075437	24min 2Th	24min
39.42393884	24min 2Th	24min
27.48518271	24min 2Th	24min
2.400518848	24min 2Th	24min
18.88067157	24min 2Th	24min
11.25763729	24min 2Th	24min
52.45134419	24min 2Th	24min
6.265519657	24min 2Th	24min
43.70202902	24min 2Th	24min
21.61636838	24min 2Th	24min
23.60546244	24min 2Th	24min
33.25652589	24min 2Th	24min
7.499770117	24min 2Th	24min
18.90950171	24min 2Th	24min
17.02538716	24min 2Th	24min
11.93809361	24min 2Th	24min
9.972745245	24min 2Th	24min
18.2649058	24min 2Th	24min
29.35323582	24min 2Th	24min
58.62230637	24min 2Th	24min
22.62615497	24min 2Th	24min
9.920488035	24min 2Th	24min
49.04996859	24min 2Th	24min
23.95058431	24min 2Th	24min
16.87464894	24min 2Th	24min
25.23159658	24min 2Th	24min
3.965414428	24min 2Th	24min
13.2833992	24min 2Th	24min
12.68474112	24min 2Th	24min
25.12541611	24min 2Th	24min
2.54111561	24min 2Th	24min
14.04737556	24min 2Th	24min
18.62060607	24min 2Th	24min
22.53665083	24min 2Th	24min
2.381902529	24min 2Th	24min
18.715363	24min 2Th	24min
71.24366177	24min 2Th	24min
15.82365574	24min 2Th	24min
40.56521931	24min 2Th	24min
17.98063427	24min 2Th	24min
12.2546592	24min 2Th	24min
22.04512527	24min 2Th	24min
13.98809522	24min 2Th	24min
17.10241418	24min 2Th	24min
10.28452218	24min 2Th	24min
9.691975293	24min 2Th	24min
17.69557396	24min 2Th	24min
26.90810897	24min 2Th	24min
18.69574902	24min 2Th	24min
19.47482614	24min 2Th	24min
11.08260352	24min 2Th	24min
34.17570295	24min 2Th	24min
47.56669471	24min 2Th	24min
4.621290411	24min 2Th	24min
25.74952777	24min 2Th	24min
33.4769135	24min 2Th	24min
19.0950683	24min 2Th	24min
26.20755548	24min 2Th	24min
5.201759965	24min 2Th	24min
17.97329055	24min 2Th	24min
62.65747692	24min 2Th	24min
20.14610137	24min 2Th	24min
22.72732841	24min 2Th	24min
20.39667316	24min 2Th	24min
32.97930504	24min 2Th	24min
19.370002	24min 2Th	24min
19.10780112	24min 2Th	24min
35.38308944	24min 2Th	24min
4.227292279	24min 2Th	24min
9.340161542	24min 2Th	24min
30.24412386	24min 2Th	24min
18.26960041	24min 2Th	24min
33.60015029	24min 2Th	24min
7.13188351	24min 2Th	24min
23.40641181	24min 2Th	24min
16.52425893	24min 2Th	24min
54.76168884	24min 2Th	24min
81.73863332	24min 2Th	24min
6.538834472	24min 2Th	24min
24.93696241	24min 2Th	24min
24.62280207	24min 2Th	24min
51.38527765	24min 2Th	24min
21.95459603	24min 2Th	24min
3.870424966	24min 2Th	24min
16.45003011	24min 2Th	24min
15.01978182	24min 2Th	24min
33.57404822	24min 2Th	24min
30.72197146	24min 2Th	24min
32.06281211	24min 2Th	24min
6.101851916	24min 2Th	24min
10.56837523	24min 2Th	24min
24.24024947	24min 2Th	24min
72.89495603	24min 2Th	24min
21.16759985	24min 2Th	24min
38.68500102	24min 2Th	24min
44.24024161	24min 2Th	24min
19.02867129	24min 2Th	24min
15.70361529	24min 2Th	24min
25.5624903	24min 2Th	24min
10.41060798	24min 2Th	24min
19.14862686	24min 2Th	24min
52.83569104	24min 2Th	24min
37.78193985	24min 2Th	24min
15.38754372	24min 2Th	24min
18.9897741	24min 2Th	24min
65.21690231	24min 2Th	24min
4.6812319	24min 2Th	24min
3.091901661	24min 2Th	24min
62.32317271	24min 2Th	24min
4.465935177	24min 2Th	24min
39.50962619	24min 2Th	24min
30.17759453	24min 2Th	24min
28.07570465	24min 2Th	24min
8.993131189	24min 2Th	24min
69.24469194	24min 2Th	24min
59.73693171	24min 2Th	24min
65.75331332	24min 2Th	24min
62.82048797	24min 2Th	24min
56.49507822	24min 2Th	24min
19.63960927	24min 2Th	24min
20.88219434	24min 2Th	24min
22.89603862	24min 2Th	24min
33.10032106	24min 2Th	24min
76.93788023	24min 2Th	24min
55.52128176	24min 2Th	24min
13.27501167	24min 2Th	24min
12.84811424	24min 2Th	24min
31.54251778	24min 2Th	24min
31.37497777	24min 2Th	24min
5.897642217	24min 2Th	24min
6.072273142	24min 2Th	24min
17.1029286	24min 2Th	24min
6.135726727	24min 2Th	24min
31.61213271	24min 2Th	24min
22.67041786	24min 2Th	24min
14.717507	24min 2Th	24min
6.535413717	24min 2Th	24min
17.65881125	24min 2Th	24min
31.0937015	24min 2Th	24min
18.22336908	24min 2Th	24min
26.4721579	24min 2Th	24min
5.997799763	24min 2Th	24min
20.94238385	24min 2Th	24min
29.33699359	24min 2Th	24min
36.83979656	24min 2Th	24min
2.864184656	24min 2Th	24min
27.11548924	24min 2Th	24min
3.873051961	24min 2Th	24min
12.29677062	24min 2Th	24min
30.98405031	24min 2Th	24min
26.41434797	24min 2Th	24min
103.4094333	24min 2Th	24min
17.42970671	24min 2Th	24min
14.39541472	24min 2Th	24min
12.45058245	24min 2Th	24min
24.87251372	24min 2Th	24min
40.19065808	24min 2Th	24min
47.1555164	24min 2Th	24min
27.73192089	24min 2Th	24min
16.30768924	24min 2Th	24min
34.24863383	24min 2Th	24min
64.35815305	24min 2Th	24min
33.5179423	24min 2Th	24min
33.9300695	24min 2Th	24min
11.61814301	24min 2Th	24min
3.987438604	24min 2Th	24min
62.2397011	24min 2Th	24min
6.008578589	24min 2Th	24min
2.022940726	24min 2Th	24min
15.06561313	24min 2Th	24min
40.30579273	24min 2Th	24min
57.33370706	24min 2Th	24min
4.584813471	24min 2Th	24min
85.63614381	24min 2Th	24min
53.35519054	24min 2Th	24min
5.248475494	24min 2Th	24min
66.23368068	24min 2Th	24min
7.2671905	24min 2Th	24min
11.97817998	24min 2Th	24min
45.31050475	24min 2Th	24min
73.400007	24min 2Th	24min
73.17105538	24min 2Th	24min
11.96870325	24min 2Th	24min
56.09855533	24min 2Th	24min
9.233112953	24min 2Th	24min
51.6615566	24min 2Th	24min
59.54819067	24min 2Th	24min
24.54672343	24min 2Th	24min
18.15796938	24min 2Th	24min
23.81314153	24min 2Th	24min
22.39971168	24min 2Th	24min
16.56244802	24min 2Th	24min
12.38679456	24min 2Th	24min
36.30484502	24min 2Th	24min
14.60078069	24min 2Th	24min
24.28995716	24min 2Th	24min
14.32859776	24min 2Th	24min
20.69507167	24min 2Th	24min
9.387885232	24min 2Th	24min
64.63256159	24min 2Th	24min
13.80592104	24min 2Th	24min
18.14976256	24min 2Th	24min
26.80081536	24min 2Th	24min
12.98426648	24min 2Th	24min
55.60001635	24min 2Th	24min
33.98442895	24min 2Th	24min
35.93486922	24min 2Th	24min
12.71956636	24min 2Th	24min
12.71682636	24min 2Th	24min
8.533012762	24min 2Th	24min
45.15006331	24min 2Th	24min
93.41779188	24min 2Th	24min
15.64423513	24min 2Th	24min
24.65821379	24min 2Th	24min
85.70429131	24min 2Th	24min
33.86527554	24min 2Th	24min
27.10976393	24min 2Th	24min
13.21786799	24min 2Th	24min
21.38850294	24min 2Th	24min
63.48876608	24min 2Th	24min
15.52448589	24min 2Th	24min
71.81272979	24min 2Th	24min
67.17827286	24min 2Th	24min
7.763776651	24min 2Th	24min
88.47604423	24min 2Th	24min
44.94280635	24min 2Th	24min
4.102899519	24min 2Th	24min
9.254553915	24min 2Th	24min
23.94989383	24min 2Th	24min
19.05632737	24min 2Th	24min
29.49846634	24min 2Th	24min
36.59980453	24min 2Th	24min
5.839490273	24min 2Th	24min
18.04535478	24min 2Th	24min
19.66263862	24min 2Th	24min
34.28650805	24min 2Th	24min
9.820280933	24min 2Th	24min
41.01056893	24min 2Th	24min
10.60981731	24min 2Th	24min
11.83825822	24min 2Th	24min
49.89197281	24min 2Th	24min
48.1538778	24min 2Th	24min
18.40290886	24min 2Th	24min
33.42354278	24min 2Th	24min
7.889373153	24min 2Th	24min
38.68245193	24min 2Th	24min
16.03597553	24min 2Th	24min
13.05263892	24min 2Th	24min
29.4817574	24min 2Th	24min
51.05145737	24min 2Th	24min
13.13050249	24min 2Th	24min
5.597573909	24min 2Th	24min
38.57025137	24min 2Th	24min
4.406646996	24min 2Th	24min
19.78742182	24min 2Th	24min
28.55364228	24min 2Th	24min
18.27263636	24min 2Th	24min
51.44731949	24min 2Th	24min
22.77015367	24min 2Th	24min
57.08701341	24min 2Th	24min
34.2958586	24min 2Th	24min
3.47483428	24min 2Th	24min
12.1977434	24min 2Th	24min
23.91231716	24min 2Th	24min
8.890763998	24min 2Th	24min
8.556312047	24min 2Th	24min
21.68567621	24min 2Th	24min
10.54646895	24min 2Th	24min
27.8688786	24min 2Th	24min
13.11533099	24min 2Th	24min
16.23667742	24min 2Th	24min
7.269279629	24min 2Th	24min
16.70565332	24min 2Th	24min
18.11725245	24min 2Th	24min
38.67901079	24min 2Th	24min
40.63909315	24min 2Th	24min
41.76995493	24min 2Th	24min
24.17536099	24min 2Th	24min
46.01004722	24min 2Th	24min
38.5016336	24min 2Th	24min
12.4729931	24min 2Th	24min
16.57067953	24min 2Th	24min
20.44076653	24min 2Th	24min
19.34630451	24min 2Th	24min
21.59870993	24min 2Th	24min
62.63117823	24min 2Th	24min
13.06196574	24min 2Th	24min
2.86064791	24min 2Th	24min
23.10900655	24min 2Th	24min
7.906367579	24min 2Th	24min
32.70750007	24min 2Th	24min
37.06167507	24min 2Th	24min
7.467251664	24min 2Th	24min
17.77738917	24min 2Th	24min
5.670336834	24min 2Th	24min
78.18182644	24min 2Th	24min
12.1579987	24min 2Th	24min
41.48348349	24min 2Th	24min
53.79976569	24min 2Th	24min
36.77764889	24min 2Th	24min
29.94972725	24min 2Th	24min
5.319765336	24min 2Th	24min
9.967300284	24min 2Th	24min
29.23691921	24min 2Th	24min
7.413869346	24min 2Th	24min
33.99540789	24min 2Th	24min
33.06301951	24min 2Th	24min
5.108248663	24min 2Th	24min
27.31386391	24min 2Th	24min
33.20283267	24min 2Th	24min
12.82740825	24min 2Th	24min
24.10326172	24min 2Th	24min
36.23827919	24min 2Th	24min
0	24min 2Th	24min
26.6889072	24min 2Th	24min
52.31531577	24min 2Th	24min
58.44987307	24min 2Th	24min
48.87338723	24min 2Th	24min
20.22072502	24min 2Th	24min
9.438394485	24min 2Th	24min
54.63661003	24min 2Th	24min
40.32380296	24min 2Th	24min
25.73203487	24min 2Th	24min
45.73600294	24min 2Th	24min
17.58643811	24min 2Th	24min
10.68493529	24min 2Th	24min
28.12788241	24min 2Th	24min
23.25717649	24min 2Th	24min
26.38982983	24min 2Th	24min
25.97273613	24min 2Th	24min
53.74249121	24min 2Th	24min
27.48946442	24min 2Th	24min
19.9519952	24min 2Th	24min
25.72990439	24min 2Th	24min
10.25838949	24min 2Th	24min
21.67417579	24min 2Th	24min
33.34350583	24min 2Th	24min
0	24min 2Th	24min
20.01833728	24min 2Th	24min
35.8650552	24min 2Th	24min
16.9711606	24min 2Th	24min
36.0832062	24min 2Th	24min
12.1396645	24min 2Th	24min
12.4971847	24min 2Th	24min
16.91450526	24min 2Th	24min
22.90045751	24min 2Th	24min
32.23376309	24min 2Th	24min
18.77928696	24min 2Th	24min
15.04189239	24min 2Th	24min
8.846182194	24min 2Th	24min
18.17582626	24min 2Th	24min
16.06749965	24min 2Th	24min
30.09291276	24min 2Th	24min
6.008131928	24min 2Th	24min
4.39141802	24min 2Th	24min
45.41937413	24min 2Th	24min
26.01338002	24min 2Th	24min
26.63224724	24min 2Th	24min
25.17956477	24min 2Th	24min
20.5995555	24min 2Th	24min
0.336359512	24min 2Th	24min
25.06311153	24min 2Th	24min
20.05985753	24min 2Th	24min
8.614369323	24min 2Th	24min
8.902318075	24min 2Th	24min
62.46952834	24min 2Th	24min
8.469182922	24min 2Th	24min
14.53351527	24min 2Th	24min
17.20494084	24min 2Th	24min
20.66021309	24min 2Th	24min
27.42930822	24min 2Th	24min
16.66438722	24min 2Th	24min
13.18398629	24min 2Th	24min
20.66063724	24min 2Th	24min
28.14919845	24min 2Th	24min
20.1233137	24min 2Th	24min
10.85534309	24min 2Th	24min
25.9487279	24min 2Th	24min
25.28339151	24min 2Th	24min
8.348593718	24min 2Th	24min
23.81616485	24min 2Th	24min
41.4771495	24min 2Th	24min
79.36656561	24min 2Th	24min
38.46909315	24min 2Th	24min
32.75176934	24min 2Th	24min
29.71338765	24min 2Th	24min
4.810783402	24min 2Th	24min
4.761096462	24min 2Th	24min
21.50862947	24min 2Th	24min
48.48965809	24min 2Th	24min
14.83026793	24min 2Th	24min
18.01115938	24min 2Th	24min
22.24733311	24min 2Th	24min
40.7825218	24min 2Th	24min
11.86653097	24min 2Th	24min
32.10192366	24min 2Th	24min
26.1688057	24min 2Th	24min
27.83419976	24min 2Th	24min
6.111560081	24min 2Th	24min
37.71447878	24min 2Th	24min
47.97769879	24min 2Th	24min
15.62230649	24min 2Th	24min
30.6442524	24min 2Th	24min
13.14180831	24min 2Th	24min
12.55590927	24min 2Th	24min
43.0451701	24min 2Th	24min
8.910044652	24min 2Th	24min
26.12642897	24min 2Th	24min
13.38648235	24min 2Th	24min
31.96642212	24min 2Th	24min
5.380599635	24min 2Th	24min
38.00097614	24min 2Th	24min
10.97273107	24min 2Th	24min
19.79898162	24min 2Th	24min
14.85429194	24min 2Th	24min
21.05351354	24min 2Th	24min
41.06156935	24min 2Th	24min
20.19554729	24min 2Th	24min
22.08897521	24min 2Th	24min
26.44297898	24min 2Th	24min
26.43330051	24min 2Th	24min
14.65862785	24min 2Th	24min
14.32977542	24min 2Th	24min
25.84680909	24min 2Th	24min
33.51848804	24min 2Th	24min
8.218173224	24min 2Th	24min
28.09172068	24min 2Th	24min
23.15645169	24min 2Th	24min
13.6623227	24min 2Th	24min
43.48526031	24min 2Th	24min
21.55794954	24min 2Th	24min
34.26043402	24min 2Th	24min
0	24min 2Th	24min
40.16445539	24min 2Th	24min
17.561106	24min 2Th	24min
19.06666439	24min 2Th	24min
7.509340664	24min 2Th	24min
63.24747616	24min 2Th	24min
27.37825846	24min 2Th	24min
49.36467571	24min 2Th	24min
25.85038888	24min 2Th	24min
32.39564156	24min 2Th	24min
27.80964362	24min 2Th	24min
20.17831355	24min 2Th	24min
25.59529604	24min 2Th	24min
46.18340136	24min 2Th	24min
10.89319539	24min 2Th	24min
23.71012487	24min 2Th	24min
