genes	log2FoldChange	pvalue
AFTPH	0.168640239	0.459990098
AGAP3	0.068821788	0.627233629
AGFG1	-0.026414514	0.757560578
AGFG2	-0.170889616	0.194594014
AGK	0.039820254	0.588520588
AGL	0.004057646	0.932169026
AGO2	-0.054210126	0.559878839
AGO3	-0.015473187	0.853002706
AGPAT1	0.390794052	0.349925455
AGPAT4	0.104463816	0.754232673
AGPAT5	0.013594747	0.89362082
AGPS	0.113622248	0.753637954
AGRN	-0.00415796	0.975837808
AGTRAP	-0.241498113	0.391447019
AHCTF1	0.202825785	0.608791295
AHCY	0.071311772	0.574190552
AHCYL1	0.12943238	0.200630213
AHCYL2	0.01941514	0.838199661
AHNAK	0.035951316	0.698018001
AHNAK2	0.001213074	0.99042493
AHSA1	0.003291309	0.962260331
AHSG	0.186373353	0.695625403
AIDA	0.041030705	0.503396266
AIFM1	0.049136937	0.557929275
AIMP1	0.061796606	0.542529002
AIMP2	0.021443486	0.816081108
AIP	-0.081274509	0.645742825
AK1	0.164174616	0.034020703
AK2	0.476482093	0.004637612
AK3	0.018544614	0.727673073
AK6	0.116736531	0.135758261
AKAP11	-0.033904493	0.884612188
AKAP12	0.003595591	0.953636038
AKAP13	0.000891626	0.994357587
AKAP2	0.006898761	0.957829953
AKAP8	0.021719575	0.69403685
AKAP8L	-0.151456475	0.089190645
AKAP9	0.104873538	0.177251551
AKR1A1	-0.042878807	0.684935486
AKR1B1	0.412045002	0.023581534
AKR1C2	-0.31948489	0.199822174
AKR1C3	0.175487638	0.288502263
AKR7A2	-0.009910226	0.94244714
AKT1	-0.057790279	0.202593207
AKT1S1	0.081331432	0.4549108
AKT3	0.134420395	0.167331093
ALAD	-0.168751419	0.038819247
ALB	0.100237966	0.526182998
ALCAM	0.171416521	0.564461768
ALDH16A1	0.102516532	0.329727489
ALDH18A1	0.025960207	0.874456769
ALDH1A1	-0.238455415	0.307846168
ALDH1A2	-0.134526074	0.057322383
ALDH1A3	-0.18871212	0.577505736
ALDH1B1	0.046572745	0.544559442
ALDH2	-0.074149728	0.119426664
ALDH3A2	-0.099080801	0.176103261
ALDH4A1	0.326489866	0.030650396
ALDH6A1	0.043513	0.704766574
ALDH7A1	0.180255651	0.271410436
ALDH9A1	0.034759283	0.809103738
ALDOA	0.09968102	0.017722141
ALDOC	-0.130453706	0.505990708
ALG1	0.068883121	0.739512864
ALG2	-0.097332299	0.731787559
ALG3	-0.046388149	0.700963947
ALG5	0.112409055	0.311998987
ALKBH5	-0.431057096	0.113696472
ALKBH8	0.271098495	0.427987684
ALOX5	-0.04053247	0.862235943
ALS2	-0.493760705	0.022187496
ALYREF	0.118847907	0.162843017
AMDHD2	0.232933879	0.377794499
AMOTL2	-0.078108668	0.746420922
AMPD2	-0.096820891	0.238419741
ANAPC1	0.021821082	0.891904729
ANAPC4	-0.135740638	0.550953681
ANAPC7	0.372045994	0.079281256
ANGPT2	0.072167158	0.841741672
ANKFY1	-0.021111608	0.79688522
ANKHD1	0.032351613	0.670497546
ANKMY2	-0.716414988	0.006937161
ANKRD13A	-0.016275287	0.935193141
ANKRD17	0.020209432	0.656112504
ANKRD28	0.052597106	0.605300745
ANKRD50	0.274076581	0.044216597
ANKRD54	0.340480924	0.37873495
ANKS1A	-0.022830725	0.876406893
ANO10	0.076640427	0.477602041
ANO6	-0.181114435	0.459395427
ANP32A	-0.001568675	0.995327351
ANP32B	-0.093645036	0.703119825
ANP32E	0.122138023	0.021819057
ANPEP	0.079928458	0.280998906
ANXA1	0.045654833	0.682639971
ANXA10	-1.286854386	0.006380518
ANXA11	-0.182925105	0.329904362
ANXA2	0.156338573	0.535785936
ANXA3	0.120422482	0.067437946
ANXA4	0.099857628	0.704491341
ANXA5	-0.002249837	0.989732476
ANXA6	0.013806403	0.901070102
ANXA7	-0.075825632	0.241609171
AP1B1	0.039770842	0.579810303
AP1G1	-0.114017546	0.189849687
AP1G2	0.129550517	0.722851207
AP1M1	0.114331305	0.089528768
AP1S1	0.268023431	0.333902334
AP1S2	0.133366168	0.553360733
AP2A1	0.15494436	0.020850693
AP2A2	0.075217485	0.10749532
AP2B1	-0.021103024	0.74658215
AP2M1	0.284171462	0.026363454
AP3B1	0.198750436	2.14E-05
AP3D1	0.00181812	0.990387769
AP3M1	0.329907119	0.002693326
AP3M2	-0.020258665	0.869729152
AP3S1	0.303618431	0.030019258
AP4B1	-0.199915051	0.267836779
AP5S1	0.407018334	0.020115559
AP5Z1	0.052139342	0.697834184
APAF1	0.083262682	0.312856732
APCS	-0.581657733	0.246526388
APEH	0.121281743	0.384937981
APEX1	-0.019828856	0.796908676
API5	0.082434893	0.442667942
APIP	0.181335747	0.227954646
APLP2	0.320472121	0.135588031
APMAP	0.123637259	0.577215321
APOA1	0.124660552	0.754247689
APOA2	0.186628938	0.728986063
APOB	0.074157536	0.853008127
APOBEC3C	0.213978648	0.741535333
APOBEC3F;APOBEC3D	-0.058296204	0.694974123
APOC1	-0.27144897	0.727397916
APOC3	0.282664895	0.330315545
APOD	-0.07729125	0.813941241
APOE	0.418491006	0.315524556
APOH	-0.069978356	0.801323964
APOL2	0.125341833	0.258812178
APOL3	-0.058224738	0.822553958
APOO	0.094215274	0.59912773
APOOL	-0.102562964	0.487236068
APP	-0.05916357	0.790224407
APPL1	-0.039188862	0.77501618
APPL2	0.312909941	0.27091641
APRT	0.195450902	0.237842527
AQP1	0.748550266	0.393620451
AQR	0.339465201	0.030767142
ARAF	0.486513615	0.059809764
ARAP1	0.203498065	0.469618714
ARAP3	0.009863496	0.933734274
ARCN1	0.06072551	0.434052942
ARF1	-1.776960015	0.237054497
ARF3	0.282462895	0.000469276
ARF4	0.367220223	0.150004598
ARF5	-0.103074431	0.427478927
ARF6	0.051337242	0.601862315
ARFGAP1	-0.015677869	0.849013916
ARFGAP2	0.080063343	0.08931129
ARFGAP3	0.030130088	0.780569407
ARFGEF1	0.063476741	0.542681377
ARFGEF2	0.006345451	0.939811079
ARFIP1	-0.040890992	0.547946598
ARFIP2	-0.069981337	0.595930942
ARFRP1	0.084647954	0.730026314
ARGLU1	0.106101811	0.316074133
ARHGAP1	-0.117950559	0.312404246
ARHGAP17	-0.024248421	0.463359937
ARHGAP18	0.06226784	0.536863264
ARHGAP24	0.320952415	0.301554723
ARHGAP25	-0.09757334	0.720612341
ARHGAP26	0.015020221	0.924725585
ARHGAP27	0.203772962	0.540013981
ARHGAP29	0.054958224	0.534168635
ARHGAP30	-0.493841851	0.31806724
ARHGAP31	-0.150792539	0.200474031
ARHGAP35	0.084235311	0.649003485
ARHGAP4	0.029637903	0.94285493
ARHGAP5	0.101888657	0.841595678
ARHGDIA	0.441471457	1.66E-05
ARHGDIB	0.05666101	0.375987019
ARHGEF1	0.021373212	0.645804421
ARHGEF10	0.28978622	0.103888256
ARHGEF12	-0.067811787	0.603362158
ARHGEF15	0.002264202	0.981251318
ARHGEF17	0.031959951	0.657269554
ARHGEF2	0.083786786	0.490284396
ARHGEF28	0.258174777	0.31245962
ARHGEF5	0.363417387	0.426699022
ARHGEF7	0.049599767	0.719884351
ARID1A	0.081547678	0.522759842
ARID1B	-0.042282701	0.842275077
ARIH1	0.138264537	0.091968333
ARIH2	-0.170956373	0.46217667
ARL1	0.256882489	0.112960027
ARL10	0.12729311	0.500376065
ARL2	0.121408641	0.021172055
ARL3	0.368131578	0.000852257
ARL6IP1	-0.144979239	0.626569846
ARL6IP4	0.057291031	0.7324481
ARL6IP5	0.019176722	0.919166237
ARL8A	-0.017197073	0.881843166
ARL8B	-0.139352202	0.036622135
ARMC1	0.500542998	0.001042187
ARMC10	-0.040751994	0.785313286
ARMC6	0.092095494	0.105553684
ARMC8	-0.078994095	0.306489648
ARMC9	0.389783651	0.158422568
ARMCX1	0.156350076	0.360202209
ARMCX2	0.355847955	0.302152812
ARMCX3	0.128281593	0.230180011
ARMT1	0.004713774	0.947338266
ARPC1A	0.135560393	0.257624005
ARPC1B	0.411537111	0.082412968
ARPC2	0.164399683	0.093403607
ARPC3	0.026798546	0.818486304
ARPC4	0.351764441	0.0060791
ARPC5	0.048686326	0.560620993
ARPC5L	0.235942006	0.188100698
ARPIN	-0.030597806	0.933678252
ARPP19	-0.02267164	0.892378741
ARR3	-0.324389189	0.442745994
ARRB1	0.100005507	0.700051833
ARSA	-0.294593215	0.115478104
ARSB	0.013002038	0.958723364
ARVCF	-0.272462487	0.186566848
ASAH1	0.053628206	0.88612882
ASAP1	0.107031643	0.375725386
ASAP2	0.003608286	0.963398976
ASB9	0.051505268	0.889439887
ASCC1	-0.074840784	0.288722665
ASCC2	-0.01728785	0.919570864
ASCC3	0.194154263	0.23734109
ASDURF	0.018860996	0.803437826
ASF1A	0.796977937	0.043591142
ASH2L	0.067423284	0.694370442
ASIC4	0.302385586	0.199569462
ASL	-0.163982391	0.208954752
ASMTL	-0.023238838	0.736976546
ASNS	0.173097474	0.581589485
ASPH	0.058288336	0.861389454
ASPM	-0.440017164	0.509235204
ASPSCR1	0.002065122	0.986015795
ASRGL1	-0.037861466	0.848693739
ATAD1	0.150859177	0.110042744
ATAD3A	0.038597643	0.528243149
ATAD3B	0.101010621	0.625023689
ATE1	-0.136242211	0.147608758
ATF2	0.047711074	0.82313293
ATF6B	1.413942036	0.004124988
ATF7	-0.007076919	0.973169306
ATF7IP	0.051635087	0.784617741
ATG16L1	0.159839451	0.059975034
ATG3	-0.014905214	0.827973681
ATG4B	-0.107218921	0.559028224
ATG7	0.003458023	0.916617449
ATIC	0.083408833	0.230238764
ATL2	0.003388047	0.986140482
ATL3	0.228195071	0.125807053
ATM	-0.033161372	0.873868644
ATOX1	0.156564355	0.600587066
ATP11A	0.092357099	0.258041893
ATP11C	0.332458079	0.303909473
ATP13A1	0.147150218	0.522353343
ATP1A1	0.035198152	0.83275361
ATP1B3	-0.141628385	0.390824788
ATP2A1	0.831451476	0.010826874
ATP2A2	0.196912229	0.391451142
ATP2B1	-0.20608294	0.052328749
ATP2B4	0.105310857	0.087609648
ATP2C1	-0.125610232	0.334337629
ATP5F1A	0.169513702	0.064788247
ATP5F1B	-0.02808851	0.75648202
ATP5F1C	0.260105073	0.095401359
ATP5F1D	0.591338575	0.016741816
ATP5F1E;ATP5F1EP2	-0.06672895	0.453405592
ATP5IF1	0.138038933	0.72278046
ATP5ME	0.059500575	0.668022724
ATP5MF	0.028973103	0.87590719
ATP5MG	-0.070832312	0.59792177
ATP5MK	-0.085581005	0.620560711
ATP5PB	0.141675413	0.374516286
ATP5PD	-0.120208323	0.471581883
ATP5PF	-0.077994227	0.206219986
ATP5PO	-0.06958127	0.576726439
ATP6AP1	-0.203810275	0.565930475
ATP6AP2	-0.20098561	0.385589579
ATP6V0A1	-0.071188807	0.637512545
ATP6V0A2	-0.094805871	0.835635053
ATP6V0D1	-0.018534362	0.873383541
ATP6V1A	0.17962712	0.042769427
ATP6V1B2	0.202286422	0.049687737
ATP6V1C1	0.07610023	0.261935778
ATP6V1D	-0.034605324	0.744753004
ATP6V1E1	0.089298725	0.349867625
ATP6V1F	0.061163127	0.693169182
ATP6V1G1	0.130692244	0.141564977
ATP6V1H	-0.131050169	0.109668784
ATP7A	0.654511184	0.204242554
ATP8B1	-0.078441441	0.581416076
ATP9A	0.002768159	0.978923434
ATPAF2	1.789808393	0.027456221
ATRX	0.075001717	0.321133797
ATXN10	0.051404715	0.604438704
ATXN2	-0.05576539	0.643110324
ATXN2L	-0.012431026	0.637750091
ATXN3	-0.152323067	0.495433421
ATXN7L3B	-0.009139121	0.928677428
AUP1	-0.110306621	0.672015951
AVEN	0.026499569	0.79105496
AXL	-0.236057609	0.519666958
AZI2	0.074330381	0.834525878
B2M	0.153242946	0.714416306
B3GLCT	-0.43234089	0.11558104
BABAM1	0.110847652	0.262176043
BABAM2	0.156442881	0.417773125
BAD	-0.425736487	0.036659679
BAG1	-0.190830052	0.027771213
BAG2	0.234156668	0.097795876
BAG3	-0.08308506	0.136968834
BAG4	0.157243311	0.211341005
BAG5	-0.083921134	0.239885785
BAG6	0.006266236	0.896466661
BAIAP2	-0.213966787	0.362983324
BAK1	0.689785719	0.161937521
BANF1	-0.141414821	0.111311595
BANP	0.006269251	0.97447198
BAP18	0.084713638	0.602633437
BASP1	-0.009080648	0.976438582
BAX	-0.10626471	0.155425911
BAZ1A	0.057236522	0.862187268
BAZ1B	0.527308345	0.328344318
BCAM	0.038739681	0.828422179
BCAP29	0.095083833	0.627582028
BCAP31	0.135198474	0.519436302
BCAR1	0.023291767	0.69694302
BCAR3	0.666876137	0.00615617
BCAS2	0.633398116	0.000639977
BCAS3	0.224871874	0.007439469
BCAT1	0.028521657	0.749935531
BCAT2	-0.105767906	0.34024309
BCCIP	0.142983258	0.382150369
BCKDHA	0.043697119	0.835982437
BCKDHB	-0.097933684	0.712696442
BCKDK	-0.027113497	0.769968637
BCL10	-0.007789612	0.967099768
BCL2L1	0.392452538	0.086339091
BCL2L13	-0.01049614	0.966379854
BCL7C	0.905612826	0.000422368
BCLAF1	0.028991997	0.661109179
BCR	0.057271838	0.395015268
BCS1L	-0.088778257	0.591595505
BDH2	0.268007696	0.263334779
BECN1	0.324294329	0.015811376
BET1	0.309360266	0.033050107
BET1L	0.275570333	0.156839332
BICD1	-0.277778894	0.519628699
BICD2	0.277691603	0.005198592
BID	0.271481931	0.07513036
BIN1	0.083943725	0.541595086
BIN3	0.063874841	0.548427781
BIRC6	0.081819654	0.666725802
BLMH	0.063431799	0.708786329
BLOC1S2	0.404611111	0.015705599
BLOC1S3	-0.300337161	0.774868459
BLOC1S4	0.103287995	0.558269987
BLOC1S5	0.221253127	0.242322214
BLOC1S6	0.086128712	0.660832829
BLVRA	0.256552815	0.020589182
BLVRB	0.388757885	0.015404374
BMP2K	0.01815176	0.899439959
BMS1	0.191497564	0.392721087
BMX	0.076704144	0.278177374
BNIP1	0.066338539	0.683515577
BNIP2	3.314994574	1
BNIP3	-0.148042215	0.56357969
BOD1L1	-0.007493198	0.938578031
BOLA2	0.16013211	0.075486303
BOLA3	-0.107432246	0.238757852
BOP1	-0.085919559	0.665907471
BORCS6	0.12824285	0.288805577
BORCS7	0.013087571	0.825669591
BORCS8	-0.189995408	0.244318994
BPNT1	0.4877069	0.034928056
BRAP	0.34336406	0.074431677
BRAT1	0.044939399	0.747373915
BRCC3	0.004140675	0.983176951
BRD2	-0.382494909	0.263182695
BRD3	-0.04029882	0.565938079
BRD4	0.184477091	0.056104497
BRD8	0.122725219	0.778434408
BRD9	0.001341752	0.992685462
BRIX1	0.361111522	0.194831192
BRK1	0.187203109	0.044941506
BROX	0.102424383	0.210328011
BSDC1	0.141884804	0.608868254
BSG	-0.030707061	0.784348629
BST2	0.063072284	0.902473963
BTF3	0.089928985	0.350707791
BTF3L4	0.18713522	0.017195233
BUB3	0.106052816	0.607891929
BUD31	0.096175671	0.473056558
BYSL	0.132692575	0.545250217
BZW1	0.134449542	0.222047002
BZW2	0.218596578	0.036582887
C11orf54	0.578277051	0.022613676
C11orf98	0.430245757	0.062876214
C12orf57	-0.023054063	0.912654305
C17orf75	-0.204992354	0.416971276
C18orf25	0.512758527	0.049324339
C19orf25	-0.345353484	0.027844778
C1orf21	-0.272512619	0.64950282
C1orf50	-0.018436432	0.931473789
C1QBP	0.00532037	0.96305256
C20orf27	0.188839197	0.348379562
C2CD2	0.102944255	0.492793932
C2CD5	-0.52032885	0.070915114
C2orf49	-0.024344087	0.883655442
C3	-0.121641934	0.637945195
C3orf38	0.426869929	0.134349685
C3orf62	0.170909762	0.722272183
C4A	-0.364285324	0.554173293
C4BPA	-0.186471796	0.815502249
C4orf3	0.232153296	0.374164048
C5	-2.91993463	1
C5orf22	0.03946656	0.811328183
C5orf51	0.058909774	0.75272467
C6orf120	-0.148629069	0.543967333
C7	-0.689395905	1
C7orf50	0.105212331	0.698774716
C8orf33	-0.058857858	0.435796132
C8orf37	0.73956079	0.383100025
C9orf64	-0.092494726	0.61090583
C9orf78	0.040587306	0.677698335
CAAP1	0.227253973	0.155883432
CAB39	0.115808547	0.344248685
CACNA2D1	0.358206153	0.001010168
CACTIN	0.158014357	0.213859671
CACYBP	0.075019062	0.438484256
CAD	0.045508921	0.350971981
CALCRL	-0.117229044	0.700137528
CALD1	0.083972454	0.194682285
CALM1;CALM2;CALM3	-0.003351569	0.948794056
CALML3	0.295330167	0.344054983
CALML5	-0.096842289	1
CALR	0.231753349	0.576853144
CALU	0.127861679	0.676788987
CAMK1	-0.076913476	0.517968839
CAMK2D	-0.052356064	0.809009407
CAMK2G	0.308019757	0.023861515
CAMKK2	0.046082258	0.566141747
CAMLG	0.445928097	0.006221999
CAMSAP2	0.12649262	0.163581351
CAND1	0.021186769	0.740592661
CAND2	0.16162292	0.663951901
CANX	0.021310866	0.945308689
CAP1	0.154259026	0.338974211
CAP2	0.031869173	0.783801281
CAPG	0.048169255	0.365212818
CAPN1	0.15667814	0.071746397
CAPN15	1.529857963	0.008034535
CAPN2	0.355283797	0.013624031
CAPN5	-1.202575326	8.27E-05
CAPNS1	0.103117347	0.61214088
CAPRIN1	0.261936724	0.002606053
CAPSL	-0.062544039	0.802361534
CAPZA1	0.039407134	0.468161916
CAPZA2	0.036315322	0.280936884
CAPZB	0.012769938	0.794388553
CARD10	-0.094268858	0.665283338
CARD16	0.020338893	0.976952231
CARD6	0.335080922	0.211684149
CARD8	0.393677652	0.042673052
CARHSP1	0.206433773	0.350993917
CARM1	0.415323257	0.001186451
CARS1	-0.115942478	0.288351208
CARS2	-0.013650179	0.935534833
CASK	0.504272163	0.002731007
CASKIN2	-0.078911364	0.448104282
CASP1	0.516871333	0.200294356
CASP10	0.117983282	0.547266506
CASP3	0.068372548	0.151408161
CASP4	0.212099135	0.117950958
CASP6	0.327213287	0.206775884
CASP7	0.08554101	0.594913977
CASP8	-0.181554377	0.427618957
CAST	-0.070235312	0.301030144
CASTOR1	0.527066171	0.028398841
CASTOR2	0.058521509	0.768334342
CAT	0.109627604	0.347393752
CAV1	0.01332128	0.959513889
CAV2	0.372006178	0.227430956
CAVIN1	-0.02144593	0.916251295
CAVIN2	-0.097672284	0.723813717
CAVIN3	0.063006043	0.869405661
CBFB	0.144734859	0.528057929
CBL	0.010863125	0.867760607
CBR1	0.041161358	0.82555323
CBR3	0.083472013	0.554689243
CBX1	0.134197474	0.172357034
CBX3	0.058304548	0.401143736
CBX5	0.031535745	0.593612871
CC2D1A	-0.072676539	0.572124556
CCAR1	0.010979295	0.903811101
CCAR2	-0.109335303	0.288022095
CCDC115	0.333886445	0.045875523
CCDC12	0.030044079	0.622368114
CCDC124	0.088461995	0.276134932
CCDC127	0.099008719	0.719340579
CCDC134	-0.276297212	0.193065621
CCDC167	0.8833794	0.001171566
CCDC22	-0.08604455	0.29648581
CCDC25	0.041220486	0.643382552
CCDC43	-0.206203282	0.247170176
CCDC47	0.3482939	0.004856877
CCDC50	0.097365737	0.438497819
CCDC51	0.022604167	0.820645761
CCDC6	-0.010421574	0.948133129
CCDC85B	0.522275418	0.068942872
CCDC85C	0.002295017	0.995549406
CCDC86	0.650432497	0.175157494
CCDC88A	0.031831145	0.713508364
CCDC9	0.033728659	0.842614394
CCDC90B	0.109329343	0.628131411
CCDC93	-0.057549298	0.769707609
CCL14	-0.152276712	0.812270767
CCM2	-0.301159382	0.130831824
CCN1	-0.028621035	0.956098278
CCN2	0.134112	0.841782198
CCNK	0.163353324	0.598271012
CCNL2	-0.055725694	0.825132566
CCNY	-0.478832841	0.000240998
CCNYL1	-0.38312465	0.004463772
CCS	-0.019836783	0.780456028
CCT2	0.059044302	0.362584478
CCT3	0.02992028	0.723143787
CCT4	0.051368654	0.65431706
CCT5	0.314463258	0.004182023
CCT6A	0.330401778	0.004926624
CCT7	0.063143671	0.270288359
CCT8	0.021621883	0.664709824
CCZ1B;CCZ1	0.113112986	0.234756048
CD109	-0.156590164	0.071200666
CD274	0.233633697	0.158849162
CD276	0.089910686	0.602975379
CD2AP	-0.068673313	0.109584814
CD2BP2	0.079449177	0.775617785
CD34	0.40775523	0.760311111
CD44	0.036183894	0.731729385
CD47	-0.041410327	0.754819373
CD59	0.059872866	0.911210792
CD81	-0.031243384	0.803074807
CD9	0.027566016	0.885563722
CD93	0.259542465	0.076329581
CD99	0.187234819	0.204707115
CD99L2	0.165585518	0.392162159
CDC123	0.008835495	0.960946761
CDC16	-0.021165192	0.7854348
CDC23	0.977121949	1
CDC26	0.086436808	0.445606124
CDC34	0.148299158	0.34658677
CDC37	-0.117547214	0.140847087
CDC40	-0.809374281	0.115202087
CDC42	0.240424871	0.240885287
CDC42BPA	0.090672791	0.07601577
CDC42BPB	-0.014930844	0.541972995
CDC42EP1	-0.069636822	0.755405936
CDC42EP2	-0.026835561	0.925212378
CDC42EP4	0.146231651	0.732740584
CDC42SE2	0.081065118	0.591388083
CDC5L	-0.01960808	0.814864107
CDC73	0.122683525	0.490079197
CDCA2	-0.109869063	0.819358978
CDH2	-0.045375645	0.728657258
CDH24	0.11095043	0.560516431
CDH5	0.216557264	0.005967606
CDK1	0.225254595	0.133279665
CDK11B	0.017434001	0.738811229
CDK12	0.027978629	0.830767297
CDK13	0.424405634	0.058848318
CDK17	0.032995045	0.858789333
CDK2	-0.323517859	0.029003355
CDK2AP1	0.069896962	0.832972123
CDK4	-0.130437255	0.29289128
CDK5	-0.1047225	0.356474753
CDK5RAP3	0.175599337	0.011199993
CDK7	-0.042484403	0.868892334
CDK9	-0.050215691	0.828479582
CDKN1A	0.013249755	0.963109645
CDKN1B	0.157920837	0.496696388
CDKN2A	0.125194848	0.461345047
CDKN2AIP	-0.055533171	0.586846241
CDKN2AIPNL	0.453508139	0.047377833
CDS2	-0.056426167	0.841875876
CDV3	-0.054085374	0.68510046
CDYL	0.023341894	0.895180757
CEBPZ	0.102001429	0.381999982
CELF1	-0.100569367	0.343496986
CELF2	-0.33842157	0.590932099
CEMIP2	0.154009044	0.320192677
CENPV	0.111592761	0.801421165
CEP128	-0.040059686	0.835639873
CEP131	0.19941476	0.426095121
CEP162	0.024384856	0.911356942
CEP170	0.044587135	0.708471479
CEP170B	0.009537756	0.957530854
CEP250	-0.122940719	0.47092064
CEP350	0.680556059	0.057307455
CEP41	0.072740674	0.584849172
CEP43	0.435728639	0.222983544
CEP68	-0.192093849	0.577421173
CERS2	0.163649142	0.617529075
CERT1	0.08807677	0.536573987
CETN2	0.946029186	0.000636629
CFAP20	0.004499137	0.984211094
CFAP298	0.435784787	0.136826957
CFAP36	-0.177861691	0.262545957
CFB	0.245932233	0.593793722
CFDP1	0.040227711	0.797646797
CFI	0.157905281	0.596972606
CFL1	0.315698743	0.001931075
CFL2	0.571053922	0.003481387
CGGBP1	0.052563906	0.646510892
CGNL1	0.206203163	0.054969676
CHAMP1	-0.116238892	0.381257082
CHCHD1	0.217948794	0.231043822
CHCHD2P9;CHCHD2	-0.011428952	0.95321835
CHCHD3	0.088528991	0.408284207
CHCHD4	0.368014067	0.519517325
CHCHD5	0.85844401	5.34E-06
CHCHD6	0.196786821	0.084208288
CHD1	-0.016208768	0.933098538
CHD2	0.065594316	0.730880095
CHD4	0.208808661	0.08489783
CHERP	-0.037602723	0.520284026
CHID1	0.641588022	0.469520872
CHKB	0.063254535	0.877635108
CHMP1A	-0.092837811	0.590518552
